Nationality_Name,Nationality_Color,Language_Name,Language_Color,Gender_Name,Gender_Color
UK,#E8BE21,English,green,Male,blue
GER,yellow,German,#AEDBD4,Female,#E4007F
DEN,#DAE000,Polski,#C7DE8C,Group/Company,#727171
POL,#E1E553,Svenska,green,,
ESP,#FBEDE5,Swedish,#A1CFA3,,
BEL,#E0ADA7,French,#2EA7E0,,
ITA,#EF8564,Danish,#10909E,,
FRA,#ECAB43,Dutch,#C9BC9C,,
SUI,#F39800,Czech,#DAD384,,
CZE,#E9971E,Norwegian,#00665A,,
POR,#E3A978,Italian,#FFFFFF,,
NOR,yellow,Portuguese,#44B8AF,,
SWE,#B1911B,Cantonese,green,,
AUT,yellow,Japanese,red,,
NED,#823720,Russian,green,,
CAN,#171C61,Spanish,#DCDDDD,,
USA,#A40B5D,Egyptian,green,,
BRA,#612389,Multiple,#B5B5B6,,
ARG,#914B99,,,,
JPN,#EA5514,,,,
RUS,#551F1C,,,,
AUS,#331737,,,,
NZL,#763E5A,,,,
