time_period,Time,Gender,Gender_Color,Native_Language,Language_Color,Nationality,Nationality_Color,Name,Link
1800,,Female,#E4007F,English,green,England,#E8BE21,,https://www.google.com/
1800,1804,Male,blue,French,#2EA7E0,France,#ECAB43,Jacquard Loom,https://en.wikipedia.org/wiki/Jacquard_loom
1940,1943,Male,blue,German,#AEDBD4,Germany,yellow,Plankalkul,https://www.google.com/
1940,1943,Male,blue,English,green,/,,ENIAC coding system,https://www.google.com/
1940,1946,Male,blue,English,green,/,,ENIAC Short Code,https://www.google.com/
1940,1947,Female,#E4007F,English,green,England,#E8BE21,ARC Assembly,https://www.google.com/
1940,1948,Male,blue,English,green,America,#A40B5D,CPC Coding scheme,https://www.google.com/
1940,1948,Male,blue,English ,green,America,#A40B5D,Curry notation system,https://www.google.com/
1940,1949,Male,blue,English,green,America,#A40B5D,Short Code,https://www.google.com/
1950,1950,Female,#E4007F,English,green,England,#E8BE21,Birkbeck Assembler,https://www.google.com/
1950,1951,Male,blue,Swiss,,Switzerland,#F39800,Superplan,https://www.google.com/
1950,1951,Male,blue,English,green,America,#A40B5D,ALGAE,https://www.google.com/
1950,1951,Male,blue,English,green,America,#A40B5D,Intermediate Programming Language,https://www.google.com/
1950,1951,Male,blue,English,green,England,#E8BE21,Regional Assembly Language,https://www.google.com/
1950,1951,Male,blue,Italian,#FFFFFF,Italian,#EF8564,Boehm unnamed coding system,https://www.google.com/
1950,1951,Male,blue,German,#AEDBD4,Germany,yellow,Klammerausdrucke,https://www.google.com/
1950,1951,Male,blue,English,green,America,#A40B5D,OMNIBAC Symbolic Assembler,https://www.google.com/
1950,1951,Male,blue,German,#AEDBD4,Germany,yellow,Stanislaus,https://www.google.com/
1950,1951,Male,blue,English,green,America,#A40B5D,Shirlwind assembler,https://www.google.com/
1950,1951,Male,blue,English,green,America,#A40B5D,Rochester assembler,https://www.google.com/
1950,1951,Female,#E4007F,English,green,America,#A40B5D,Sort Merge Generator,https://www.google.com/
1950,1952,Female,#E4007F,English,green,America,#A40B5D,A-0,https://www.google.com/
1950,1952,Male ,blue,English,green,England,#E8BE21,Glennie Autocode,https://www.google.com/
1950,1952,Female,#E4007F,English ,green,America,#A40B5D,Editing Generator,https://www.google.com/
1950,1952,Male,blue,English,green,America,#A40B5D,Speedcoding,https://www.google.com/
1950,1954,Male,blue,English,green,America,#A40B5D,Laning and Zierler system,https://www.google.com/
1950,1954,Male,blue,English,green,England,#E8BE21,Mark I Autocode,https://www.google.com/
1950,1954,Female,#E4007F,English,green,America,#A40B5D,ARITH-MATIC,https://www.google.com/
1950,1954,Male,blue,English,green,America,#A40B5D,IPL I,https://www.google.com/
1950,1955,Female,#E4007F,English,green,America,#A40B5D,FLOW-MATIC,https://www.google.com/
1950,1955,Group,#727171,English,green,America,#A40B5D,PACT I,https://www.google.com/
1950,1955,Group,#727171,German,#AEDBD4,Germany,yellow,Freiburger Code,
1950,1955,Male,blue,German,#AEDBD4,Germany,yellow,Sequentielle Formelubersetzung,
1950,1955,Male,blue,English,green,America,#A40B5D,IT,
1950,1955,Group,#727171,English,green,America,#A40B5D,PRINT,
1950,1955,Male,blue,English,green,America,#A40B5D,IPL II,
1950,1956,Male,blue,English,green,America,#A40B5D,Lisp concept,
1950,1957,Male,blue,English,green,America,#A40B5D,COMTRAN,
1950,1957,Male,blue,English,green,Australian,#331737,GEORGE,
1950,1957,Male,blue,English,green,America,#A40B5D,Fortran I,
1950,1958,Male,blue,English,green,America,#A40B5D,Fortran II,
1950,1958,Male,blue,English ,green,America,#A40B5D,IPL V,
1950,1959,Male,blue,English,green,America,#A40B5D,APT,
1950,1959,Male,blue,English,green,America,#A40B5D,FACT,
1950,1959,Male,blue,English,green,America,#A40B5D,JOVIAL,
1950,1959,Male,blue,English,green,America,#A40B5D,LISP,
1950,1959,Male,blue,English,green,America,#A40B5D,Michigan Algorithm Decoder,
1950,1959,Male,blue,English,green,America,#A40B5D,,
1960,1962,Company,#E4007F,English,green,America,#A40B5D,FORTRAN IV,
1960,1962,Male,blue,English,green,Canada,#171C61,APL,
1960,1962,Male,blue,English,green,America,#A40B5D,SNOBOL,
1960,1963,Male,blue,English,green,England,#E8BE21,CPL,
1960,1963,Male,blue,English,green,America,#A40B5D,SNOBOL3,
1960,1963,Male,blue,Dutch,#C9BC9C,Netherlands,#823720,ALGOL 68,
1960,1963,Male,blue,English,green,America,#A40B5D,JOSS I,
1960,1964,Male,blue,English,green,England,#E8BE21,COWSEL,
1960,1964,Company,#727171,English,green,America,#A40B5D,PL/I,
1960,1964,Company,#727171,English,green,Amrica,#A40B5D,BASIC,
1960,1964,Company,#727171,English,green,America,#A40B5D,IBM RPG,
1960,1964,Company,#727171,English,green,America,#A40B5D,Mark-IV,
1960,1964,Company,#727171,English,green,America,#A40B5D,Speakeasy-2,
1960,1964,Male,blue,English,green,America,#A40B5D,TRAC,
1960,1964,Male,blue,Italian,#FFFFFF,Italy,#EF8564,P'',
1960,1965,Company,#727171,English,green,America,#A40B5D,RPG II,
1960,1965,Uni,#727171,English,green,America,#A40B5D,MAD/I,
1960,1965,Company,#727171,English,green,America,#A40B5D,TELCOMP,
1960,1965,Male,blue,English,green,England,#E8BE21,Atlas Autocode,
1960,1966,Male,blue,English,green,America,#A40B5D,JOSS II,
1960,1966,Male,blue,Dutch/English,,Netherlands/England,,ALGOL W,
1960,1966,Male,blue,English,green,England,#E8BE21,ISWIM,
1960,1966,Male,blue,English,green,Canada,#171C61,APL,
1960,1967,Male,blue,English,green,England,#E8BE21,BCPL,
1960,1967,Company,#727171,English,green,America,#A40B5D,MUMPS,
1960,1967,Male,blue,Norwegian,#00665A,Norway,#B3751E,Simula 67,
1960,1967,Male,blue,English,green,America,#A40B5D,InterLisp,
1960,1967,Group,#727171,German,#AEDBD4,Germany,yellow,EXAPT,
1960,1967,Male,blue,English,green,America,#A40B5D,SNOBOL4,https://www.google.com/
1960,1967,Male,blue,English,green,America,#A40B5D,XPL,
1960,1967,Group,#727171,English,green,America,#A40B5D,Space Programming Language,
1960,1968,Male,blue,Dutch/English,,Netherlands/England,,ALGOL 68(UNESCO/IFIP),
1960,1968,Male,blue,English,green,England,#E8BE21,POP-1,
1960,1968,Company,#727171,English,green,America,#A40B5D,DIBOL-8,
1960,1968,Group,#727171,English,green,America,#A40B5D,LOGO,
1960,1968,Company,#727171,English,green,America,#A40B5D,MAPPER,
1960,1968,Male,blue,English,green,America,#A40B5D,REFAL,
1960,1968,Male,blue,English,green,America,#A40B5D,TTM,
1960,1968,Male,blue,English,green,America,#A40B5D,PILOT,
1960,1968,Company,#727171,English,green,America,#A40B5D,PL/I,
1960,1969,Male,blue,English,green,America,#A40B5D,B,
1960,1969,Male,blue,English,green,America,#A40B5D,Polymorphic Programming Language,
1960,1969,Male,blue,English,green,America,#A40B5D,SETL,
1960,1969,Male,blue,English,green,America,#A40B5D,TUTOR,
1960,1969,Uni,#727171,English,green,England,#E8BE21,Edinburg IMP,
1970,1970,Male,blue,English,green,America,#A40B5D,Forth,
1970,1970,Male,blue,English,green,America,#A40B5D,POP-2,
1970,1970,Male,blue,Swiss,,Netherladn,#823720,Pascal,
1970,1970,Uni,#727171,English,green,America,#A40B5D,BLISS,
1970,1971,Male,blue,English,green,America,#A40B5D,KRL,
1970,1971,Male,blue,English,green,Canada,#171C61,Sue,
1970,1971,Male,blue,Dutch,#C9BC9C,Netherlands,#823720,Compiler Descriotion Language,
1970,1972,Group,#727171,English,green,America,#A40B5D,Smalltalk,
1970,1972,Male,blue,English,green,America,#A40B5D,PL/M,
1970,1972,Male,blue,English,green,America,#A40B5D,C,
1970,1972,Male,blue,English,green,America,#A40B5D,INTERCAL,
1970,1972,Male,blue,French,#2EA7E0,France,#ECAB43,Prolog,
1970,1972,Company,#727171,English,green,America,#A40B5D,Structured Query Language,
1970,1973,Male,blue,Danish,,Denmark,#DAE000,COMAL,
1970,1973,Male,blue,English,green,England,#E8BE21,ML,
1970,1973,Male,blue,French,#2EA7E0,France,#ECAB43,LIS,
1970,1973,Group,#727171,English,green,America,#A40B5D,Speakeasy-3,
1970,1974,Female,#E4007F,English,green,America,#A40B5D,CLU,
1970,1974,Male,blue,English,green,America,#A40B5D,GRASS,
1970,1974,Company,#727171,English,green,America,#A40B5D,BASIC FOUR,
1970,1975,Male,blue,Dutch,#C9BC9C,Netherlands,#823720,ABC,
1970,1975,Group,#727171,English,green,America,#A40B5D,PROSE modeling language,
1970,1975,Male,blue,English,green,America,#A40B5D,Scheme,
1970,1975,Male,blue,English,green,America,#A40B5D,Altair BASIC,
1970,1975,Male,blue,English,green,America,#A40B5D,CS-4,
1970,1975,Male,blue,Swiss,#B5B5B6,Switzerland,#F39800,Modula,
1970,1976,Male,blue,English,green,England,#E8BE21,Plus,
1970,1976,Group,#727171,English,green,America,#A40B5D,Smalltalk -76,
1970,1976,Group,#727171,English,green,America,#A40B5D,Mesa,
1970,1976,Male,blue,English,green,Canada,#171C61,Ratfor,
1970,1976,Male,blue,English,green,America,#A40B5D,S,
1970,1976,Group,#727171,English,green,America,#A40B5D,SAS,
1970,1976,Male,blue,English,green,America,#A40B5D,Integer BASIC,
1970,1977,Male,blue,English,green,America,#A40B5D,FP,
1970,1977,Male,blue,English,green,UK,#E8BE21,Bourne Shell,
1970,1977,Male,blue,English,green,Polish-America,,Commodore BASIC,
1970,1977,Male,blue,English,green,America,#A40B5D,IDL,
1970,1977,Male,blue,English,green,America,#A40B5D,Icon(concept),
1970,1977,Male,blue,English,green,America,#A40B5D,Red,
1970,1977,Male,blue,English/German,,America,#A40B5D,Blue,
1970,1977,Male,blue,English,green,America,#A40B5D,Yellow,
1970,1977,Male,blue,English,green,America/Canada,,Euclid,
1970,1977,Male,blue,English,green,America,#A40B5D,Applesoft BASIC,
1970,1978,Group,#727171,English,green,England/America,,RAPT,
1970,1978,Male,blue,English,green,America,#A40B5D,C shell,
1970,1978,Company,#727171,English,green,America,#A40B5D,RPG III,
1970,1978,Company,#727171,English,green,America,#A40B5D,HAL/S,
1970,1978,Male,blue,English,green,America,#A40B5D,Applesoft II BASIC,
1970,1978,Group,#727171,English,green,America,#A40B5D,Irvine Dataflow,
1970,1978,Male,blue,English,green,America,#A40B5D,MATLAB,
1970,1978,Male,blue,English,green,New Zealand,#763E5A,SMALL,
1970,1978,Male,blue,English,green,America,#A40B5D,VisiCalc,
1970,1979,Male,blue,Swiss,#B5B5B6,Switzerland,#F39800,Modula - 2,
1970,1979,Male,blue,English,green,England,#E8BE21,REXX,
1970,1979,Male,blue,English,green,Canada/America,,AWK,
1970,1979,Male,blue,English,green,America,#A40B5D,Icon,
1970,1979,Male,blue,English/German,,America,#A40B5D,Vulcan dBase-II,
1980,1980,Male,blue,French,#2EA7E0,France,#ECAB43,Ada 80,
1980,1980,Male,blue,Danish,#10909E,Danmark,#DAE000,C with classes,
1980,1980,Group,#727171,English,green,America,#A40B5D,Applesoft III,
1980,1980,Company,#727171,English,green,America,#A40B5D,Apple III Microsoft BASIC,
1980,1980,Male,blue,English,green,America,#A40B5D,CBASIC,
1980,1981,Female,#E4007F,English,green,England,#E8BE21,BBC BASIC,
1980,1981,Company,#727171,English,green,America,#A40B5D,IBM BASIC,
1980,1982,Male,blue,English,green,America,#A40B5D,Speakeasy-IV,
1980,1982,Male,blue,English,green,America,#A40B5D,PostScript,
1980,1983,Male,blue,English,green,Canada,#171C61,Ada 83,
1980,1983,Male,blue,English,green,America,#A40B5D,Objective-C,
1980,1983,Male,blue,Danish,#10909E,Danmark,#DAE000,C++,
1980,1983,Male,blue,English,green,America,#A40B5D,True BASIC,
1980,1983,Male,blue,English,green,England,#E8BE21,occam,
1980,1983,Company,#727171,German,#AEDBD4,German,yellow,ABAP,
1980,1983,Male,blue,English,green,America,#A40B5D,Korn Shell,
1980,1983,Company,#727171,English,green,America,#A40B5D,Clascal,
1980,1984,Company,#727171,English,green,America,#A40B5D,CLIPPER,
1980,1984,Male,blue,English,green,America,#A40B5D,Common Lisp,
1980,1984,Male,blue,English,green,America,#A40B5D,GOM-Good Old Mad,
1980,1984,Company,#727171,English,green,America,#A40B5D,RPL,
1980,1984,Male,blue,English,green,Canada,#171C61,Redcode,
1980,1985,Company,#727171,English,green,America,#A40B5D,PARADOX,
1980,1985,Company,#727171,English,green,America,#A40B5D,QuickBASIC,
1980,1986,Male,blue,English,green,America,#A40B5D,Clarion,
1980,1986,Male,blue,French,#2EA7E0,France,#ECAB43,Eiffel,
1980,1986,Male,blue,German,#AEDBD4,German,yellow,GFA BASIC,
1980,1986,Company,#727171,English,green,America,#A40B5D,Informix-4GL,
1980,1986,Company,#727171,English,green,America,#A40B5D,LabVIEW,
1980,1986,Male,blue,English,green,England,#E8BE21,Miranda,
1980,1986,Company,#727171,English,green,America,#A40B5D,Object Pascal,
1980,1986,Male,blue,Swiss,#B5B5B6,Swedish,,Erlang,
1980,1987,Company,#727171,English,green,America,#A40B5D,Self(concept),
1980,1987,Male,blue,English,green,England,#E8BE21,occam 2,
1980,1987,Company,#727171,English,green,America,#A40B5D,Hyper Talk,
1980,1987,Male,blue,English,green,America,#A40B5D,Perl,
1980,1987,Male,blue,Swiss,#B5B5B6,Swedish,,Oberon,
1980,1987,Company,#727171,Mutiple,#B5B5B6,Global,,Mathematica(Wolfram Language),
1980,1987,Uni,#727171,Dutch,#C9BC9C,Netherland,#823720,Clean,
1980,1988,Company,#727171,English,green,America,#A40B5D,RPG/400,
1980,1988,Male,blue,English,green,America,#A40B5D,Tcl,
1980,1988,Male,blue,French,#2EA7E0,France,#ECAB43,STOS BASIC,
1980,1988,Male,blue,English,green,America,#A40B5D,Object REXX,
1980,1988,Male,blue,English,green,England,#E8BE21,SPARK,
1980,1988,Male,blue,English,green,Canada,,A+,
1980,1988,Female,#E4007F,English,green,America,#A40B5D,Hamilton C shell,
1980,1989,Male,blue,Danish,,Danmark,#DAE000,Turbo Pascal OOP,
