Time,Gender_of_Creator,Gender_Color,Native language,Nationality,Name,
,Female,#E4007F,English,England,,
1804,Male,#172A88,French,France,Jacquard Loom,
1943-45,Male,#172A88,German,Germany,Plankalk¨¹l,
1943-46,Male,#172A88,English,/,ENIAC coding system,
1946,Male,#172A88,English,/,ENIAC Short Code,
1947,Female,#E4007F,English,England,ARC Assembly,
1948,Male,#172A88,English,America,CPC Coding scheme,
1948,Male,#172A88,English ,America,Curry notation system,
1949,Male,#172A88,English,America,Short Code,
1950,Female,#E4007F,English,England,Birkbeck Assembler,
1951,Male,#172A88,Swiss,Switzerland,Superplan,
1951,Male,#172A88,English,America,ALGAE,
1951,Male,#172A88,English,America,Intermediate Programming Language,
1951,Male,#172A88,English,England,Regional Assembly Language,
1951,Male,#172A88,Italian,Italian,Boehm unnamed coding system,
1951,Male,#172A88,German,Germany,Klammerausdrucke,
1951,Male,#172A88,English,America,OMNIBAC Symbolic Assembler,
1951,Male,#172A88,German,Germany,Stanislaus,
1951,Male,#172A88,English,America,Shirlwind assembler,
1951,Male,#172A88,English,America,Rochester assembler,
1951,Female,#E4007F,English,America,Sort Merge Generator,
1952,Female,#E4007F,English,America,A-0,
1952,Male ,#172A88,English,England,Glennie Autocode,
1952,Female,#E4007F,English ,America,Editing Generator,
1952,Male,#172A88,English,America,Speedcoding,
1954,Male,#172A88,English,America,Laning and Zierler system,
1954,Male,#172A88,English,England,Mark I Autocode,
1954,Female,#E4007F,English,America,ARITH-MATIC,
1954,Male,#172A88,English,America,IPL I,
1955,Female,#E4007F,English,America,FLOW-MATIC,
1955,Group,#727171,English,America,PACT I,
1955,Group,#727171,German,Germany,Freiburger Code,
1955-1956,Male,#172A88,German,Germany,Sequentielle Formelubersetzung,
1955-1956,Male,#172A88,English,America,IT,
1955,Group,#727171,English,America,PRINT,
1955,Male,#172A88,English,America,IPL II,
1956-1958,Male,#172A88,English,America,Lisp concept,
1957,Male,#172A88,English,America,COMTRAN,
1957,Male,#172A88,English,Australian,GEORGE,
1957,Male,#172A88,English,America,Fortran I,
1958,Male,#172A88,English,America,Fortran II,
1958,Male,#172A88,English ,America,IPL V,
1959,Male,#172A88,English,America,APT,
1959,Male,#172A88,English,America,FACT,
1959,Male,#172A88,English,America,JOVIAL,
1959,Male,#172A88,English,America,LISP,
1959,Male,#172A88,English,America,Michigan Algorithm Decoder,
1959,Male,#172A88,English,America,,
,,,,,,
1962,Company,#E4007F,English,America,FORTRAN IV,
1962,Male,#172A88,English,Canada,APL,
1962,Male,#172A88,English,America,SNOBOL,
1963,Male,#172A88,English,England,CPL,
1963,Male,#172A88,English,America,SNOBOL3,
1963,Male,#172A88,Dutch,Netherlands,ALGOL 68,
1963,Male,#172A88,English,America,JOSS I,
1964,Male,#172A88,English,England,COWSEL,
1964,Company,#727171,English,America,PL/I,
1964,Company,#727171,English,Amrica,BASIC,
1964,Company,#727171,English,America,IBM RPG,
1964,Company,#727171,English,America,Mark-IV,
1964,Company,#727171,English,America,Speakeasy-2,
1964,Male,#172A88,English,America,TRAC,
1964,Male,#172A88,Italian,Italy,P'',
1965,Company,#727171,English,America,RPG II,
1965,Uni,#727171,English,America,MAD/I,
1965,Company,#727171,English,America,TELCOMP,
1965,Male,#172A88,English,England,Atlas Autocode,
1966,Male,#172A88,English,America,JOSS II,
1966,Male,#172A88,Dutch/English,Netherlands/England,ALGOL W,
1966,Male,#172A88,English,England,ISWIM,
1966,Male,#172A88,English,Canada,APL,
1967,Male,#172A88,English,England,BCPL,
1967,Company,#727171,English,America,MUMPS,
1967,Male,#172A88,Norwegian,Norway,Simula 67,
1967,Male,#172A88,English,America,InterLisp,
1967,Group,#727171,German,Germany,EXAPT,
1967,Male,#172A88,English,America,SNOBOL4,
1967,Male,#172A88,English,America,XPL,
1967,Group,#727171,English,America,Space Programming Language,
1968,Male,#172A88,Dutch/English,Netherlands/England,ALGOL 68(UNESCO/IFIP),
1968,Male,#172A88,English,England,POP-1,
1968,Company,#727171,English,America,DIBOL-8,
1968,Group,#727171,English,America,LOGO,
1968,Company,#727171,English,America,MAPPER,
1968,Male,#172A88,English,America,REFAL,
1968,Male,#172A88,English,America,TTM,
1968,Male,#172A88,English,America,PILOT,
1968,Company,#727171,English,America,PL/I,
1969,Male,#172A88,English,America,B,
1969,Male,#172A88,English,America,Polymorphic Programming Language,
1969,Male,#172A88,English,America,SETL,
1969,Male,#172A88,English,America,TUTOR,
1969,Uni,#727171,English,England,Edinburg IMP,
,,,,,,
1970,Male,#172A88,English,America,Forth,
1970,Male,#172A88,English,America,POP-2,
1970,Male,#172A88,Swiss,Netherladn,Pascal,
1970,Uni,#727171,English,America,BLISS,
1971,Male,#172A88,English,America,KRL,
1971,Male,#172A88,English,Canada,Sue,
1971,Male,#172A88,Dutch,Netherlands,Compiler Descriotion Language,
1972,Group,#727171,English,America,Smalltalk,
1972,Male,#172A88,English,America,PL/M,
1972,Male,#172A88,English,America,C,
1972,Male,#172A88,English,America,INTERCAL,
1972,Male,#172A88,French,France,Prolog,
1972,Company,#727171,English,America,Structured Query Language,
1973,Male,#172A88,Danish,Denmark,COMAL,
1973,Male,#172A88,English,England,ML,
1973,Male,#172A88,French,France,LIS,
1973,Group,#727171,English,America,Speakeasy-3,
1974,Female,#E4007F,English,America,CLU,
1974,Male,#172A88,English,America,GRASS,
1974,Company,#727171,English,America,BASIC FOUR,
1975,Male,#172A88,Dutch,Netherlands,ABC,
1975,Group,#727171,English,America,PROSE modeling language,
1975,Male,#172A88,English,America,Scheme,
1975,Male,#172A88,English,America,Altair BASIC,
1975,Male,#172A88,English,America,CS-4,
1975,Male,#172A88,Swiss,Switzerland,Modula,
1976,Male,#172A88,English,England,Plus,
1976,Group,#727171,English,America,Smalltalk -76,
1976,Group,#727171,English,America,Mesa,
1976,Male,#172A88,English,Canada,Ratfor,
1976,Male,#172A88,English,America,S,
1976,Group,#727171,English,America,SAS,
1976,Male,#172A88,English,America,Integer BASIC,
1977,Male,#172A88,English,America,FP,
1977,Male,#172A88,English,UK,Bourne Shell,
1977,Male,#172A88,English,Polish-America,Commodore BASIC,
1977,Male,#172A88,English,America,IDL,
1977,Male,#172A88,English,America,Icon(concept),
1977,Male,#172A88,English,America,Red,
1977,Male,#172A88,English/German,America,Blue,
1977,Male,#172A88,English,America,Yellow,
1977,Male,#172A88,English,America/Canada,Euclid,
1977,Male,#172A88,English,America,Applesoft BASIC,
1978,Group,#727171,English,England/America,RAPT,
1978,Male,#172A88,English,America,C shell,
1978,Company,#727171,English,America,RPG III,
1978,Company,#727171,English,America,HAL/S,
1978,Male,#172A88,English,America,Applesoft II BASIC,
1978,Group,#727171,English,America,Irvine Dataflow,
1978,Male,#172A88,English,America,MATLAB,
1978,Male,#172A88,English,New Zealand,SMALL,
1978,Male,#172A88,English,America,VisiCalc,
1979,Male,#172A88,Swiss,Switzerland,Modula - 2,
1979,Male,#172A88,English,England,REXX,
1979,Male,#172A88,English,Canada/America,AWK,
1979,Male,#172A88,English,America,Icon,
1979,Male,#172A88,English/German,America,Vulcan dBase-II,
,,,,,,
1980,Male,#172A88,French,France,Ada 80,
1980,Male,#172A88,Danish,Danmark,C with classes,
1980,Group,#727171,English,America,Applesoft III,
1980,Company,#727171,English,America,Apple III Microsoft BASIC,
1980-1981,Male,#172A88,English,America,CBASIC,
1981,Female,#E4007F,English,England,BBC BASIC,
1981,Company,#727171,English,America,IBM BASIC,
1982,Male,#172A88,English,America,Speakeasy-IV,
1982,Male,#172A88,English,America,PostScript,
1983,Male,#172A88,English,Canada,Ada 83,
1983,Male,#172A88,English,America,Objective-C,
1983,Male,#172A88,Danish,Danmark,C++,
1983,Male,#172A88,English,America,True BASIC,
1983,Male,#172A88,English,England,occam,
1983,Company,#727171,German,German,ABAP,
1983,Male,#172A88,English,America,Korn Shell,
1983,Company,#727171,English,America,Clascal,
1984,Company,#727171,English,America,CLIPPER,
1984,Male,#172A88,English,America,Common Lisp,
1984,Male,#172A88,English,America,GOM-Good Old Mad,
1984,Company,#727171,English,America,RPL,
1984,Male,#172A88,English,Canada,Redcode,
1985,Company,#727171,English,America,PARADOX,
1985,Company,#727171,English,America,QuickBASIC,
1986,Male,#172A88,English,America,Clarion,
1986,Male,#172A88,French,France,Eiffel,
1986,Male,#172A88,German,German,GFA BASIC,
1986,Company,#727171,English,America,Informix-4GL,
1986,Company,#727171,English,America,LabVIEW,
1986,Male,#172A88,English,England,Miranda,
1986,Company,#727171,English,America,Object Pascal,
1986,Male,#172A88,Swiss,Swedish,Erlang,
1987,Company,#727171,English,America,Self(concept),
1987,Male,#172A88,English,England,occam 2,
1987,Company,#727171,English,America,Hyper Talk,
1987,Male,#172A88,English,America,Perl,
1987,Male,#172A88,Swiss,Swedish,Oberon,
1987,Company,#727171,Mutiple,Global,Mathematica£¨Wolfram Language£©,
1987,Uni,#727171,Dutch,Netherland,Clean,
1988,Company,#727171,English,America,RPG/400,
1988,Male,#172A88,English,America,Tcl,
1988,Male,#172A88,French,France,STOS BASIC,
1988,Male,#172A88,English,America,Object REXX,
1988,Male,#172A88,English,England,SPARK,
1988,Male,#172A88,English,Canada,A+,
1988,Female,#E4007F,English,America,Hamilton C shell,
1989,Male,#172A88,Danish,Danmark,Turbo Pascal OOP,
1989,Company,#727171,English/Italian,America/Italy,Modula-3,
1989,Male,#172A88,English,unknown,PowerBASIC,
1989,Male,#172A88,English,America,VisSim,
1989,Male,#172A88,Swiss,Swedish,LPC,
1989,Male,#172A88,English,America,Bash,People with color
1989,Company,#727171,English,England,Magik,
,,,,,,
,,,,,,
1990,Male,#172A88,French,France,AMOS BASIC,
1990,Male,#172A88,English,America/Canada,AMPL,
1990,Male,#172A88,English/Cantoone,Canada,J,
1990,Male,#172A88,English,America,Z Shell,
1991,Male,#172A88,English,America,GNU E,
1991,Male,#172A88,German,Austria/Swizerland,Oberon-2,
1991,Male,#172A88,Dutch,Netherland,Python,
1991,Male,#172A88,German,German,Oz,
1991,Male,#172A88,English,America,Visual Basic,
1991,Male,#172A88,German,Germany,Q,
1992,Company,#727171,English,America,Dylan,
1992,Male,#172A88,English,Unknown,S-Lang,
1993,Company,#727171,English,America,Self,
1993,Male,#172A88,Dutch,Netherland,Amiga E,
1993,Male,#172A88,Swiss,Swizerland,Brainfuck,
1993,Company,#727171,English,America,AppleScript,
1993,Male,#172A88,English,Canada,K,
1993,Male,#172A88,portuguese,Brzial,Lua,
1993,Male,#172A88,English,Canada,R,
1993,Uni,#727171,English,America,ZPL,
1993,Male,#172A88,English,Canada,Euphoria,
1994,Male,#172A88,French,France,Claire,
1994,Company,#727171,Swiss,Swizerland,RAPID,
1994,Male,#172A88,swedish,sweden,Pike,
1994,Female,#E4007F,English,America,ANS Forth,
1995,Male,#172A88,English,America,Ada 95,
1995,Male,#172A88,Danish,Danmark,Borland Delphi,
1995,Company,#727171,English,America,ColdFusion,
1995,Male,#172A88,English,Canada,Java,
1995,Male,#172A88,English,America,LiveScript,
1995,Male,#172A88,English,Austrilia,Mercury,
1995,Male,#172A88,Danish/English,Danmark/Canada,PHP,
1995,Male,#172A88,Japanese,Japan,Ruby,
1995,Male,#172A88,English,America,JacaScript,
1995,Male,#172A88,English,America,Racket,
1996,Male,#172A88,English,America,Curl,
1996,Company,#727171,English,America,Lasso,
1996,Group,#727171,English,UK,Perl Data Language(PDL),
1996,Company,#727171,English,America,VBScript,
1996,Company,#727171,French,France,Ocaml,
1996,Male,#172A88,English,UK,NetRexx,
1997,Company,#727171,Swiss,German,Component Pascal,
1997,Male,#172A88,English,America,E,
1997,Uni,#727171,Dutch/French/German,Belgium,Pico,
1997,Male,#172A88,English,America,Squeak,
1997,Company,#727171,English,Swizerland,ECMAScript,
1997,Male,#172A88,/,/,F-Script,
1997,Male,#172A88,English,America,Tea,
1997,Male,#172A88,English,America,REBOL,
1998,Uni,#727171,Potrugese,ÆÏÌÑÑÀ,Logtalk,
1998,Male,#172A88,English,America,ActionScript,
1998,Company,#727171,English,America,Standard C++,
1998,Male,#172A88,English,America,M2001,
1998,Male,#172A88,English,America,Pikt,
1998,Male,#172A88,French,France,PureBasic,
1998,Male,#172A88,English,America,UnrealScript,
1998,Male,#172A88,English,UK,XSLT,
1999,Male,#172A88,Dutch,Netherland,Game Maker language,
1999,Male,#172A88,Spanish,Spain,Harbour,
,,,,,,
2000,Male,#172A88,English,Austrlian,Join Java,
2000,Company,#727171,English,UK,DarkBasic,
2000,Male,#172A88,Danish,Danmark,C#,
2000,Male,#172A88,English,Austrlia,Joy,
2001,Male,#172A88,English,America,AspectJ,
2001,Male,#172A88,English,America,D,
20001,Male,#172A88,English,America,Processing,
2001,Company,#727171,English,America,Visual Basic.Net,
2001,Company,#727171,English,America,RPG IV,
2001,Company,#727171,Spanish,Argentina,CDScript,
2002,Company ,#727171,English,America,Gosu,
2002,Group,#727171,English,America,Scratch,
2003,Uni,#727171,Polish,Poland,Nemerle,
2003,Male,#172A88,Russian,Russia,Factor,
2003,Male,#172A88,English,UK,Scala,
2003,Male,#172A88,Italian,Italy,Squirrel,
2003,Male,#172A88,Portuguese,Brazil,Boo,
2004,Company,#727171,Dutch,Netherland,Alma-0,
2004,Male,#172A88,English,America,Groovy,
2004,Male,#172A88,English,America,Little b,
2005,Male,#172A88,English,Austrlia,Fantom,
2005,Male,#172A88,English,Austrlia,F#,
2005,Male,#172A88,French,France,Haxe,
2005,Company,#727171,English,America,Oxygene,
2006,Male,#172A88,English,America,Links,
2006,Male,#172A88,English,America,Cobra,
2006,Company,#727171,English,America,Windows PowerShell,
2006,Company,#727171,French,France,OptimJ,
2006,Male,#172A88,English,America,Fortress,
2006,Company,#727171,English,America,Vala,
2007,Company,#727171,Swiss,Sweden,Agda,
2007,Male,#172A88,English,America,Clojure,
2007,Male,#172A88,English,America,LOLCODE,
2007,Male,#172A88,Swiss,Sweden,Oberon-07,
2007,Uni,#727171,English,America,Swift,
2008,Male,#172A88,German,Germany,Nim,
2008,Male,#172A88,Germa,Germany,Pure,
2009,Male,#172A88,English,America,Chapel,
2009,Company,#727171,English,America,Go,
2009,Male,#172A88,English,America,CoffeeScript,
2009,Male,#172A88,English,UK,Idris,
2009,Male,#172A88,English,New Zealand,Whiley,
2009,Male,#172A88,English,America,Dafny,
,,,,,,
2010,Male,#172A88,English,America,Rust,
2011,Male,#172A88,Spanish,Span,Ceylon,
2011,Company,#727171,English,America,Dart,
2011,Company,#727171,Czech,Czech Republic,Kotlin,
2011,Male,#172A88,French,France,Red,
2011,Male,#172A88,English,New Zealan,MonkeyX,
2011,Company,#727171,French,France,Opa,
2012,Male,#172A88,Polish,Poland,Elixir,
2012,Male,#172A88,Czech,Czech Republic,Elm,
2012,Male,#172A88,Danish,Danmark,TypeScript,
2012,Male,#172A88,English,America,Julia,
2012,Company,#727171,English,America,P,
2013,Male,#172A88,Danish,Danmark,Cuneiform,
2014,Male,#172A88,Spanish,Agentina,Crystal,
2014,Company,#727171,English,America,Hack,
2014,Company,#727171,English,America,Swift,
2015,Group,#727171,/,/,Perl 6,
2015,Male,#172A88,French,France,SpiderBasic,
2016,Male,#172A88,Egyptian,Egypt,Ring,
2017,Group,#727171,/,/,Ballerina,
2018,Group,#727171,/ ,/,Fortran 2018,
